Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR),UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR),HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR),LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA
0.0,0.25806648,0.53295624,0.2713068,0.2500299,0.5163592,0.27162445,,,,0.26341066,0.5430097,0.20433962,0.25634143,0.52843684,0.20379007,,,,0.26819605,0.54010123,0.021940231,0.26376322,0.53117424,0.021487832,,,
0.25,0.08186715,0.15969028,0.00035095215,0.04576383,0.08926705,0.0005643964,,,,0.08163969,0.15889761,0.010845363,0.04499588,0.08757673,0.007621169,,,,0.08306518,0.1564841,0.0019261837,0.046539206,0.08767387,0.00078356266,,,
0.5,0.07743941,0.15414199,0.000119805336,0.037292957,0.07423107,-0.00014913082,,,,0.07717938,0.15326856,0.007482469,0.03652765,0.07253933,0.0043718815,,,,0.08236396,0.15838043,0.0009058714,0.040127832,0.07716316,0.0004697442,,,
0.75,0.07699588,0.15641528,0.0002773404,0.03323685,0.067519866,0.000323236,,,,0.076721065,0.155496,0.005610168,0.032640275,0.066154346,0.0009325743,,,,0.08423617,0.16533709,0.0012061,0.036778737,0.07218858,0.00045371056,,,
1.0,0.08039641,0.16663903,1.6510487e-05,0.17884354,0.37069213,0.0034100413,0.03692785,0.076541,0.00017440319,0.0801477,0.16574673,0.004465282,0.17749703,0.3670667,0.019010782,0.037069254,0.07665981,0.0018689632,0.087336585,0.17490786,0.0009845495,0.17628646,0.35304663,0.013047814,0.0416532,0.08341833,0.00084257126
1.25,0.08356833,0.17666365,-0.00026249886,0.17322807,0.36620456,0.0038127303,0.037908446,0.08013855,-0.00074982643,0.083340935,0.17579071,0.00573498,0.1720644,0.36293474,0.016877651,0.038070645,0.08030226,0.000977397,0.08982061,0.18351568,0.0010743737,0.17503065,0.35761136,0.011827469,0.042865936,0.08758092,0.00040459633
1.5,0.08714678,0.18782626,0.00048708916,0.17156439,0.36977038,0.0037632585,0.04214408,0.090832554,-0.0009485483,0.086880445,0.18686546,0.0056232214,0.17028627,0.36625758,0.020200491,0.042353567,0.091095515,0.0024124384,0.09232945,0.1924777,0.0016506314,0.1775161,0.3700649,0.011783123,0.047150116,0.09829307,0.0006534457
1.75,0.091089554,0.20007949,2.3782253e-05,0.1735869,0.38128608,0.004016757,0.038484182,0.084531054,-0.00032317638,0.09075896,0.1989759,0.0048987865,0.17246862,0.37811255,0.021740317,0.038609568,0.084645905,0.0015358329,0.094864435,0.20170176,0.0021400452,0.18170792,0.38634926,0.012982786,0.04386248,0.09326086,0.00026363134
2.0,0.102737114,0.229893,-8.4638596e-05,0.16915286,0.37851033,0.0037718415,0.042316783,0.09469151,-0.00054073334,0.10252981,0.22903942,0.007453561,0.16780703,0.37486097,0.022150457,0.042566154,0.09508774,0.0023663044,0.10699037,0.2319803,0.0029780269,0.17524783,0.37997854,0.0132030845,0.047278006,0.10250984,0.00044810772
2.25,0.10539417,0.24016923,0.0006237626,0.164429,0.37469608,0.0036751628,0.044228423,0.10078647,-0.00029206276,0.105138615,0.23924105,0.0081906915,0.16319577,0.37134907,0.020218194,0.04450193,0.10126335,0.0026282668,0.10856299,0.24003865,0.003237009,0.17038496,0.37673035,0.012237191,0.049240228,0.10887281,0.00050085783
2.5,0.10878283,0.2523497,0.0012080669,0.16361758,0.379553,0.0042111874,0.049353715,0.11448862,0.00026077032,0.108560584,0.25155026,0.009362102,0.16225038,0.37595713,0.020775795,0.049557574,0.114831924,0.0033489466,0.110755555,0.24976024,0.003728509,0.16796872,0.37877926,0.012377322,0.05400792,0.12179101,0.0015482903
2.75,0.11313739,0.26707843,0.0009865761,0.16658272,0.39324445,0.00440228,0.052573174,0.12410717,0.0006865859,0.11285756,0.26620936,0.010856748,0.1651603,0.3895815,0.02135694,0.05269174,0.12428972,0.00312078,0.11487766,0.26426423,0.004383981,0.1704934,0.39220247,0.012881875,0.057225745,0.13164192,0.0013633966
3.0,0.13533536,0.32500067,0.0007278919,0.1416916,0.34026483,0.00331074,0.06671877,0.16022159,0.0001425147,0.13509353,0.3242629,0.016789854,0.1403552,0.3368924,0.015730023,0.06703282,0.16089784,0.0039553046,0.14091626,0.33087903,0.0072920322,0.14226425,0.3340442,0.008948147,0.07012416,0.16465534,0.0017837286
3.25,0.138014,0.33704215,0.0014621019,0.13608494,0.33233124,0.0035638213,0.082957536,0.2025895,0.000690043,0.13776986,0.33628216,0.016889572,0.13466235,0.32869706,0.013960838,0.083216555,0.20312312,0.007130325,0.14353551,0.34433052,0.0076714754,0.13569222,0.3255151,0.007736981,0.085355945,0.20476227,0.0031511784
3.5,0.1431545,0.35538602,0.001547873,0.1322604,0.328341,0.0030331612,0.098210536,0.24381106,0.00072956085,0.14284642,0.3544153,0.018913507,0.13081682,0.32456875,0.016426682,0.09846175,0.2442928,0.011494577,0.1471913,0.36094832,0.008927286,0.13224834,0.3243046,0.007499218,0.1004982,0.24644566,0.0043503046
3.75,0.15217006,0.3838763,0.003088951,0.13108732,0.3306913,0.0030596256,0.09791081,0.2469976,0.0017355084,0.15181622,0.38279444,0.02732271,0.12968202,0.32698452,0.015606761,0.09820123,0.24760783,0.012348354,0.15489584,0.38817033,0.010412216,0.13202971,0.3308676,0.00756979,0.099335596,0.24893586,0.006255865
4.0,0.15158437,0.38841087,0.0036631227,0.14456293,0.3704195,0.0039504766,0.08948453,0.22928987,0.0015269518,0.1514369,0.388004,0.03335023,0.14333959,0.3672575,0.022370458,0.08971507,0.22986345,0.011234343,0.15355405,0.393012,0.011942148,0.14763021,0.3778503,0.0123589635,0.088654414,0.22690544,0.0037315488
4.25,0.17353968,0.4514026,0.006285548,0.16370451,0.42581984,0.006557584,0.11409362,0.2967745,0.0039467216,0.17356688,0.45156214,0.05140698,0.16235813,0.4224008,0.03188157,0.11423862,0.29721013,0.023315191,0.17433764,0.45394123,0.018603623,0.1638668,0.42667723,0.016573966,0.115204245,0.2999694,0.008757889
4.5,0.21467565,0.5664233,0.011847496,0.19243018,0.50772846,0.0109705925,0.15182602,0.4005941,0.0071804523,0.21469277,0.56654406,0.07960802,0.19108798,0.50425434,0.04963821,0.15184769,0.4007047,0.041538417,0.21560404,0.5703439,0.029591024,0.19541338,0.51693296,0.026560605,0.149724,0.39606947,0.016499221
