Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF_Gauss_11,UHR_SSIMLoss_EnKF_Rect_11,UHR_SSIMLoss_EnKF_Gauss_21,UHR_SSIMLoss_EnKF_Rect_21,UHR_SSIMLoss_EnKF_Gauss_31,UHR_SSIMLoss_EnKF_Rect_31,UHR_SSIMLoss_EnKF_Gauss_51,UHR_SSIMLoss_EnKF_Rect_51,UHR_SSIMLoss_EnKF_Gauss_71,UHR_SSIMLoss_EnKF_Rect_71,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR)_Gauss_11,UHR_SSIMLoss_EnKF(HR)_Rect_11,UHR_SSIMLoss_EnKF(HR)_Gauss_21,UHR_SSIMLoss_EnKF(HR)_Rect_21,UHR_SSIMLoss_EnKF(HR)_Gauss_31,UHR_SSIMLoss_EnKF(HR)_Rect_31,UHR_SSIMLoss_EnKF(HR)_Gauss_51,UHR_SSIMLoss_EnKF(HR)_Rect_51,UHR_SSIMLoss_EnKF(HR)_Gauss_71,UHR_SSIMLoss_EnKF(HR)_Rect_71,UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA_Gauss_11,UHR_SSIMLoss_SRDA_Rect_11,UHR_SSIMLoss_SRDA_Gauss_21,UHR_SSIMLoss_SRDA_Rect_21,UHR_SSIMLoss_SRDA_Gauss_31,UHR_SSIMLoss_SRDA_Rect_31,UHR_SSIMLoss_SRDA_Gauss_51,UHR_SSIMLoss_SRDA_Rect_51,UHR_SSIMLoss_SRDA_Gauss_71,UHR_SSIMLoss_SRDA_Rect_71,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF_Gauss_11,HR_SSIMLoss_EnKF_Rect_11,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR)_Gauss_11,HR_SSIMLoss_EnKF(HR)_Rect_11,HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA_Gauss_11,HR_SSIMLoss_SRDA_Rect_11,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF_Gauss_11,LR_SSIMLoss_EnKF_Rect_11,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR)_Gauss_11,LR_SSIMLoss_EnKF(HR)_Rect_11,LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA_Gauss_11,LR_SSIMLoss_SRDA_Rect_11
0.0,0.2583334,0.5334227,0.27276778,0.279849,0.294483,0.27922666,0.287418,0.24969256,0.2561878,0.19707358,0.22328669,0.15436488,0.25069538,0.51765126,0.2731511,0.28096658,0.29552656,0.281632,0.28916907,0.25184053,0.2584722,0.19729918,0.22502863,0.15301776,,,,,,,,,,,,,0.26182598,0.5426355,0.20285738,0.125242,0.253583,0.5255519,0.2049101,0.12361568,,,,,0.26969004,0.54850507,0.025885522,0.008987784,0.27098852,0.551146,0.025231421,0.0085917115,,,,
0.25,0.08163001,0.15925266,0.00023531914,0.0026627183,0.002749443,0.007247746,0.0046752095,0.009190381,0.0074175,0.009384453,0.008437991,0.008363605,0.045184758,0.08815132,0.000359416,0.0018188953,0.001979649,0.0048309565,0.0031530857,0.006155789,0.004911959,0.006172538,0.005556226,0.0050966144,,,,,,,,,,,,,0.08142508,0.1585071,0.009776652,0.007416725,0.044512425,0.08665064,0.0060603023,0.0042971373,,,,,0.084662914,0.15961593,0.0016283989,0.0008673668,0.0464638,0.08759872,0.0008980036,0.00034880638,,,,
0.5,0.07700872,0.15332718,-2.1100044e-05,0.0018535256,0.0019721389,0.005111575,0.0033105016,0.00655514,0.0052631497,0.006892085,0.0060704947,0.0062499642,0.03721999,0.074106365,2.8073788e-05,0.000944674,0.0011419058,0.0026155114,0.0017105341,0.0035043359,0.002709508,0.0038080812,0.0032200217,0.003240943,,,,,,,,,,,,,0.07673031,0.15243402,0.006819725,0.0057854056,0.0364549,0.07242206,0.0037501454,0.002573073,,,,,0.08297416,0.15962854,0.0018099546,0.00092822313,0.039443187,0.07588216,0.00013768673,7.909536e-05,,,,
0.75,0.076921105,0.15630826,0.00020986795,0.0018382072,0.0017462373,0.004334569,0.0028705597,0.005490899,0.0044574738,0.005846262,0.005106032,0.0053503513,0.0339393,0.06896667,0.00047028065,0.0010874271,0.0008804202,0.0018447042,0.001239717,0.002518952,0.0019223094,0.002845049,0.002309978,0.0025013685,,,,,,,,,,,,,0.07663382,0.1554061,0.0060349703,0.0050807,0.03343873,0.06781057,0.0035562515,0.0025225282,,,,,0.08449206,0.16606511,0.0009428859,0.00076562166,0.03715575,0.07302786,0.0004886985,0.00019860268,,,,
1.0,0.09673647,0.20055771,0.000893414,0.0028019547,0.0024297833,0.0063827634,0.0040807724,0.008838773,0.0068092346,0.010633945,0.008361936,0.009932876,0.087179124,0.18074307,0.0010402203,0.0026825666,0.0024680495,0.0063575506,0.00398916,0.009454846,0.0070164204,0.011556923,0.0089885,0.010055542,0.04190599,0.08688109,-0.0004156828,0.00062555075,0.00087445974,0.0017586946,0.0011994243,0.0024095178,0.0018433928,0.0027704835,0.0022261739,0.0025147796,0.09691666,0.2005453,0.009509504,0.008702457,0.0867432,0.1794938,0.01095736,0.008853376,0.04175628,0.0864044,0.001799345,0.0016738772,0.10225235,0.20521459,0.00300169,0.001594305,0.09250276,0.18564771,0.0031556487,0.0014475584,0.047081124,0.09448911,0.00037676096,0.00021898746
1.25,0.09383636,0.19841559,0.00010293722,0.0021577477,0.00232929,0.0059334636,0.0038477182,0.008098602,0.0062943697,0.009696603,0.0076506734,0.0089969635,0.083068915,0.17564799,0.0001527667,0.0018693805,0.0021781325,0.0055280924,0.0034797192,0.008215129,0.0060992837,0.010149062,0.007821679,0.008975863,0.04841542,0.10237369,-0.00042152405,0.0008201003,0.0009484887,0.001930058,0.0013075471,0.0027080774,0.0020529628,0.003259182,0.0025154948,0.0029209852,0.09385252,0.19809476,0.008125186,0.00767684,0.08264727,0.17444381,0.00882262,0.0074798465,0.04809726,0.10151901,0.0033918023,0.0028124452,0.09885898,0.20245004,0.003072977,0.0016964078,0.08657701,0.17729819,0.0026845336,0.0013405085,0.052721716,0.10796706,0.0007559657,0.00040370226
1.5,0.09433755,0.20336531,0.0005081296,0.0025421977,0.002389729,0.005931437,0.00389719,0.008053064,0.006294608,0.0096693635,0.007623911,0.008939564,0.0821885,0.17717536,0.00087219477,0.0021981,0.0020352602,0.005065322,0.0032114983,0.0075322986,0.005605161,0.00938952,0.0072089434,0.00838393,0.05921645,0.12765406,0.00035202503,0.001426518,0.0011569262,0.0025054216,0.0016655326,0.0036090612,0.0027039647,0.004401922,0.003360629,0.0039629936,0.094328515,0.20301515,0.00945586,0.008206308,0.08182611,0.17610732,0.008330822,0.00744009,0.05890062,0.12676674,0.002158761,0.0025352836,0.09772255,0.2041854,0.0028433204,0.0017278194,0.085007705,0.17761849,0.0028784275,0.0014744997,0.06371376,0.13312607,0.0012168884,0.00067824125
1.75,0.099285185,0.21812153,0.0005301833,0.002693832,0.0026621819,0.006504357,0.0043022633,0.008857906,0.0069280267,0.010710657,0.0084040165,0.009916067,0.08375932,0.18401246,0.00047385693,0.001899004,0.002041161,0.0049461722,0.0031665564,0.0073252916,0.005475998,0.009260833,0.0070452094,0.008480668,0.06072106,0.13339926,8.147955e-05,0.0012075901,0.0012311935,0.0026708245,0.0017800331,0.0038318634,0.0028645992,0.004642844,0.0035440922,0.0041798353,0.099163696,0.21755065,0.009726644,0.008570969,0.083364666,0.1828899,0.007953346,0.0074552298,0.060345635,0.1323895,0.004150152,0.0038568377,0.10267997,0.21890974,0.00339216,0.0021579862,0.08607378,0.183506,0.0028612614,0.0015579462,0.06471692,0.137974,0.0012654662,0.00076562166
2.0,0.09889059,0.22132093,0.000892818,0.0032788515,0.003127575,0.00787878,0.0051444173,0.010933399,0.00844264,0.0133726,0.010350287,0.0122692585,0.10189952,0.22805503,0.00085663795,0.0026246905,0.00258559,0.006617844,0.0041175485,0.009857953,0.007202506,0.011834145,0.009031892,0.010294139,0.062230784,0.13927488,-0.0002644062,0.0009525418,0.0012074709,0.0025525093,0.0017137527,0.0036450624,0.0027329326,0.0044087768,0.0033630133,0.004016578,0.09877021,0.22079177,0.012403965,0.010799706,0.10172864,0.22740507,0.009316683,0.00860405,0.062179554,0.1389967,0.004336536,0.004005432,0.10297058,0.22393927,0.0041103363,0.002257824,0.11097078,0.24133803,0.0041103363,0.0024523735,0.067349434,0.1464708,0.0013138056,0.0006890893
2.25,0.0987913,0.22515409,0.0010122657,0.0034691095,0.0032668114,0.008170605,0.0053572655,0.011324644,0.00877291,0.013788104,0.01073122,0.012534797,0.09886399,0.22531976,0.00029301643,0.0020668507,0.0024530292,0.0060963035,0.0038363338,0.009059966,0.006628275,0.010979414,0.008315325,0.009576201,0.06870701,0.15658934,0.00028258562,0.0014579296,0.001443088,0.0031534433,0.0020887256,0.0045090914,0.0033597946,0.0054329634,0.0041112304,0.0048545003,0.09858723,0.2244724,0.013041317,0.011043131,0.09873202,0.22480206,0.007394731,0.007273972,0.06858668,0.15616441,0.003333211,0.0034835935,0.10280824,0.22804695,0.003993094,0.0022787452,0.10587371,0.23484671,0.004083991,0.0023647547,0.0740884,0.16434126,0.0023323298,0.0011463165
